_id,createdAt,experimentType,id,ratedArtworkId,rating,sourceArtworkId,updatedAt,userId
5da38901dd4859000882d564,2019-10-13 20:28:49.686,social_graph,1.1393574355835708e+25,33965,Agree,33965,2019-10-13 20:28:49.686,113935743558357074871
5da3891bdd4859000882d565,2019-10-13 20:29:15.569,social_graph,1.1393574355835708e+25,6135,Disagree,33965,2019-10-13 20:29:15.569,113935743558357074871
5da3891edd4859000882d566,2019-10-13 20:29:18.611,social_graph,1.1393574355835708e+25,16079,Disagree,33965,2019-10-13 20:29:18.611,113935743558357074871
5da38929dd4859000882d567,2019-10-13 20:29:29.589,social_graph,1.1393574355835708e+25,29481,Disagree,33965,2019-10-13 20:29:29.589,113935743558357074871
5da3892bdd4859000882d568,2019-10-13 20:29:31.184,social_graph,1.1393574355835708e+25,15724,Disagree,33965,2019-10-13 20:29:31.184,113935743558357074871
5da3892ddd4859000882d569,2019-10-13 20:29:33.231,social_graph,1.1393574355835708e+25,1707,Disagree,33965,2019-10-13 20:29:33.231,113935743558357074871
5da38932dd4859000882d56a,2019-10-13 20:29:38.103,social_graph,1.1393574355835708e+25,13734,Disagree,33965,2019-10-13 20:29:38.103,113935743558357074871
5da38933dd4859000882d56b,2019-10-13 20:29:39.841,social_graph,1.1393574355835708e+25,12462,Disagree,33965,2019-10-13 20:29:39.841,113935743558357074871
5da38936dd4859000882d56c,2019-10-13 20:29:42.284,social_graph,1.1393574355835708e+25,20750,Disagree,33965,2019-10-13 20:29:42.284,113935743558357074871
5da38937dd4859000882d56d,2019-10-13 20:29:43.583,social_graph,1.1393574355835708e+25,39582,Disagree,33965,2019-10-13 20:29:43.583,113935743558357074871
5da38939dd4859000882d56e,2019-10-13 20:29:45.345,social_graph,1.1393574355835708e+25,22323,Disagree,33965,2019-10-13 20:29:45.345,113935743558357074871
5da3893add4859000882d56f,2019-10-13 20:29:46.768,social_graph,1.1393574355835708e+25,40380,Disagree,33965,2019-10-13 20:29:46.768,113935743558357074871
5da3893cdd4859000882d570,2019-10-13 20:29:48.019,social_graph,1.1393574355835708e+25,8685,Disagree,33965,2019-10-13 20:29:48.019,113935743558357074871
5da3893ddd4859000882d571,2019-10-13 20:29:49.131,social_graph,1.1393574355835708e+25,19256,Disagree,33965,2019-10-13 20:29:49.131,113935743558357074871
5da38941dd4859000882d572,2019-10-13 20:29:53.184,social_graph,1.1393574355835708e+25,20375,Disagree,33965,2019-10-13 20:29:53.184,113935743558357074871
5da38944dd4859000882d573,2019-10-13 20:29:56.472,social_graph,1.1393574355835708e+25,21353,Disagree,33965,2019-10-13 20:29:56.472,113935743558357074871
5da38945dd4859000882d574,2019-10-13 20:29:57.629,social_graph,1.1393574355835708e+25,1287,Disagree,33965,2019-10-13 20:29:57.629,113935743558357074871
5da38945dd4859000882d575,2019-10-13 20:29:57.700,social_graph,1.1393574355835708e+25,40142,Disagree,33965,2019-10-13 20:29:57.700,113935743558357074871
5da3894add4859000882d576,2019-10-13 20:30:02.678,social_graph,1.1393574355835708e+25,22523,Disagree,33965,2019-10-13 20:30:02.678,113935743558357074871
5da3894bdd4859000882d577,2019-10-13 20:30:03.651,social_graph,1.1393574355835708e+25,43693,Disagree,33965,2019-10-13 20:30:03.651,113935743558357074871
5da3894cdd4859000882d578,2019-10-13 20:30:04.521,social_graph,1.1393574355835708e+25,16074,Disagree,33965,2019-10-13 20:30:04.521,113935743558357074871
5da3895cdd4859000882d579,2019-10-13 20:30:20.014,social_graph,1.1393574355835708e+25,21576,Agree,33965,2019-10-13 20:30:20.014,113935743558357074871
5da3895ddd4859000882d57b,2019-10-13 20:30:21.665,social_graph,1.1393574355835708e+25,16074,Disagree,33965,2019-10-13 20:30:21.665,113935743558357074871
5da3895ddd4859000882d57a,2019-10-13 20:30:21.664,social_graph,1.1393574355835708e+25,43693,Disagree,33965,2019-10-13 20:30:21.664,113935743558357074871
5da38965dd4859000882d57c,2019-10-13 20:30:29.050,social_graph,1.1393574355835708e+24,5629,Agree,5629,2019-10-13 20:30:29.050,113935743558357074871
5da38a38dd4859000882d57d,2019-10-13 20:34:00.998,social_graph,1.1393574355835708e+25,5455,Disagree,43809,2019-10-13 20:34:00.998,113935743558357074871
5da38a3cdd4859000882d57e,2019-10-13 20:34:04.536,social_graph,1.1393574355835708e+25,2056,Disagree,43809,2019-10-13 20:34:04.536,113935743558357074871
5da38a3ddd4859000882d57f,2019-10-13 20:34:05.509,social_graph,1.1393574355835708e+25,42329,Disagree,43809,2019-10-13 20:34:05.509,113935743558357074871
5da38a40dd4859000882d580,2019-10-13 20:34:08.728,social_graph,1.1393574355835708e+25,18868,Disagree,43809,2019-10-13 20:34:08.728,113935743558357074871
5da38a40dd4859000882d581,2019-10-13 20:34:08.735,social_graph,1.1393574355835708e+25,25824,Disagree,43809,2019-10-13 20:34:08.735,113935743558357074871
5da38a8edd4859000882d582,2019-10-13 20:35:26.458,social_graph,1.1393574355835708e+25,30799,Disagree,36457,2019-10-13 20:35:26.458,113935743558357074871
5da38a90dd4859000882d583,2019-10-13 20:35:28.071,social_graph,1.1393574355835708e+25,3607,Disagree,36457,2019-10-13 20:35:28.071,113935743558357074871
5da38a91dd4859000882d584,2019-10-13 20:35:29.505,social_graph,1.1393574355835708e+25,1113,Disagree,36457,2019-10-13 20:35:29.505,113935743558357074871
5da38a92dd4859000882d585,2019-10-13 20:35:30.338,social_graph,1.1393574355835708e+25,28600,Disagree,36457,2019-10-13 20:35:30.338,113935743558357074871
5da38a93dd4859000882d586,2019-10-13 20:35:31.384,social_graph,1.1393574355835708e+25,40508,Disagree,36457,2019-10-13 20:35:31.384,113935743558357074871
5da38a95dd4859000882d587,2019-10-13 20:35:33.026,social_graph,1.1393574355835708e+25,36229,Disagree,36457,2019-10-13 20:35:33.026,113935743558357074871
5da38a95dd4859000882d588,2019-10-13 20:35:33.637,social_graph,1.1393574355835708e+25,24714,Disagree,36457,2019-10-13 20:35:33.637,113935743558357074871
5da38a96dd4859000882d589,2019-10-13 20:35:34.444,social_graph,1.1393574355835708e+25,41399,Disagree,36457,2019-10-13 20:35:34.444,113935743558357074871
5da38a96dd4859000882d58a,2019-10-13 20:35:34.940,social_graph,1.1393574355835708e+25,19812,Disagree,36457,2019-10-13 20:35:34.940,113935743558357074871
5da38a96dd4859000882d58b,2019-10-13 20:35:34.964,social_graph,1.1393574355835708e+25,31068,Disagree,36457,2019-10-13 20:35:34.964,113935743558357074871
5da38a98dd4859000882d58c,2019-10-13 20:35:36.087,social_graph,1.1393574355835708e+25,41000,Disagree,36457,2019-10-13 20:35:36.087,113935743558357074871
5da38a98dd4859000882d58d,2019-10-13 20:35:36.884,social_graph,1.1393574355835708e+25,41526,Disagree,36457,2019-10-13 20:35:36.884,113935743558357074871
5da38a9ddd4859000882d58e,2019-10-13 20:35:41.661,social_graph,1.1393574355835708e+25,28269,Disagree,36457,2019-10-13 20:35:41.661,113935743558357074871
5da38a9ddd4859000882d58f,2019-10-13 20:35:41.678,social_graph,1.1393574355835708e+25,42743,Disagree,36457,2019-10-13 20:35:41.678,113935743558357074871
5da38a9edd4859000882d590,2019-10-13 20:35:42.338,social_graph,1.1393574355835708e+25,39604,Disagree,36457,2019-10-13 20:35:42.338,113935743558357074871
5da38a9fdd4859000882d591,2019-10-13 20:35:43.584,social_graph,1.1393574355835708e+25,5968,Disagree,36457,2019-10-13 20:35:43.584,113935743558357074871
5da38aa0dd4859000882d592,2019-10-13 20:35:44.411,social_graph,1.1393574355835708e+25,2058,Disagree,36457,2019-10-13 20:35:44.411,113935743558357074871
5da38aa1dd4859000882d593,2019-10-13 20:35:45.003,social_graph,1.1393574355835708e+25,40733,Disagree,36457,2019-10-13 20:35:45.003,113935743558357074871
5da38af2dd4859000882d594,2019-10-13 20:37:06.048,social_graph,1.1393574355835708e+25,8197,Disagree,36457,2019-10-13 20:37:06.048,113935743558357074871
5da38af3dd4859000882d595,2019-10-13 20:37:07.542,social_graph,1.1393574355835708e+25,34768,Disagree,36457,2019-10-13 20:37:07.542,113935743558357074871
5da38b0fdd4859000882d596,2019-10-13 20:37:35.387,social_graph,1.1393574355835708e+25,12364,Disagree,36457,2019-10-13 20:37:35.387,113935743558357074871
5da38b10dd4859000882d597,2019-10-13 20:37:36.233,social_graph,1.1393574355835708e+25,25622,Disagree,36457,2019-10-13 20:37:36.233,113935743558357074871
5da38b11dd4859000882d598,2019-10-13 20:37:37.247,social_graph,1.1393574355835708e+25,4972,Disagree,36457,2019-10-13 20:37:37.247,113935743558357074871
5da38b26dd4859000882d599,2019-10-13 20:37:58.020,social_graph,1.1393574355835708e+25,21606,Disagree,43809,2019-10-13 20:37:58.020,113935743558357074871
5da38b2add4859000882d59a,2019-10-13 20:38:02.124,social_graph,1.1393574355835708e+25,19391,Agree,43809,2019-10-13 20:38:02.124,113935743558357074871
5da38b2ddd4859000882d59b,2019-10-13 20:38:05.340,social_graph,1.1393574355835708e+25,31111,Disagree,43809,2019-10-13 20:38:05.340,113935743558357074871
5da38b30dd4859000882d59c,2019-10-13 20:38:08.286,social_graph,1.1393574355835708e+25,16039,Agree,43809,2019-10-13 20:38:08.286,113935743558357074871
5da38b31dd4859000882d59d,2019-10-13 20:38:09.880,social_graph,1.1393574355835708e+25,14552,Disagree,43809,2019-10-13 20:38:09.880,113935743558357074871
5da38b35dd4859000882d59e,2019-10-13 20:38:13.481,social_graph,1.1393574355835708e+25,31503,Agree,43809,2019-10-13 20:38:13.481,113935743558357074871
5da38b36dd4859000882d59f,2019-10-13 20:38:14.952,social_graph,1.1393574355835708e+25,26799,Disagree,43809,2019-10-13 20:38:14.952,113935743558357074871
5da38b38dd4859000882d5a0,2019-10-13 20:38:16.209,social_graph,1.1393574355835708e+25,4477,Disagree,43809,2019-10-13 20:38:16.209,113935743558357074871
5da38b39dd4859000882d5a1,2019-10-13 20:38:17.643,social_graph,1.1393574355835708e+25,18553,Disagree,43809,2019-10-13 20:38:17.643,113935743558357074871
5da38b3cdd4859000882d5a2,2019-10-13 20:38:20.426,social_graph,1.1393574355835708e+25,18464,Disagree,43809,2019-10-13 20:38:20.426,113935743558357074871
5da38b3ddd4859000882d5a3,2019-10-13 20:38:21.482,social_graph,1.1393574355835708e+25,40114,Disagree,43809,2019-10-13 20:38:21.482,113935743558357074871
5da38b3ddd4859000882d5a4,2019-10-13 20:38:21.583,social_graph,1.1393574355835708e+25,11257,Disagree,43809,2019-10-13 20:38:21.583,113935743558357074871
5da38b3ddd4859000882d5a5,2019-10-13 20:38:21.627,social_graph,1.1393574355835708e+25,25202,Disagree,43809,2019-10-13 20:38:21.627,113935743558357074871
5da38b3fdd4859000882d5a6,2019-10-13 20:38:23.092,social_graph,1.1393574355835708e+25,44586,Disagree,43809,2019-10-13 20:38:23.092,113935743558357074871
5da38b40dd4859000882d5a7,2019-10-13 20:38:24.008,social_graph,1.1393574355835708e+25,27351,Disagree,43809,2019-10-13 20:38:24.008,113935743558357074871
5da38b41dd4859000882d5a8,2019-10-13 20:38:25.092,social_graph,1.1393574355835708e+25,2956,Disagree,43809,2019-10-13 20:38:25.092,113935743558357074871
5da38b41dd4859000882d5a9,2019-10-13 20:38:25.179,social_graph,1.1393574355835708e+25,693,Disagree,43809,2019-10-13 20:38:25.179,113935743558357074871
5da38b41dd4859000882d5aa,2019-10-13 20:38:25.911,social_graph,1.1393574355835708e+25,41897,Disagree,43809,2019-10-13 20:38:25.911,113935743558357074871
5da38b45dd4859000882d5ab,2019-10-13 20:38:29.984,social_graph,1.1393574355835708e+25,13420,Disagree,43809,2019-10-13 20:38:29.984,113935743558357074871
5da38c07dd4859000882d5ac,2019-10-13 20:41:43.465,social_graph,1.1393574355835708e+24,16821,Disagree,5629,2019-10-13 20:41:43.465,113935743558357074871
5da38c08dd4859000882d5ad,2019-10-13 20:41:44.920,social_graph,1.1393574355835708e+24,10136,Disagree,5629,2019-10-13 20:41:44.920,113935743558357074871
5da38c0cdd4859000882d5ae,2019-10-13 20:41:48.239,social_graph,1.1393574355835708e+24,27034,Agree,5629,2019-10-13 20:41:48.239,113935743558357074871
5da38c0fdd4859000882d5af,2019-10-13 20:41:51.025,social_graph,1.1393574355835708e+24,22615,Disagree,5629,2019-10-13 20:41:51.025,113935743558357074871
5da38c10dd4859000882d5b0,2019-10-13 20:41:52.150,social_graph,1.1393574355835708e+24,1558,Disagree,5629,2019-10-13 20:41:52.150,113935743558357074871
5da38c1bdd4859000882d5b1,2019-10-13 20:42:03.695,social_graph,1.1393574355835708e+24,36444,Agree,5629,2019-10-13 20:42:03.695,113935743558357074871
5da38c1cdd4859000882d5b2,2019-10-13 20:42:04.817,social_graph,1.1393574355835708e+24,36680,Disagree,5629,2019-10-13 20:42:04.817,113935743558357074871
5da38c1ddd4859000882d5b3,2019-10-13 20:42:05.505,social_graph,1.1393574355835708e+24,32665,Disagree,5629,2019-10-13 20:42:05.505,113935743558357074871
5da38c1edd4859000882d5b4,2019-10-13 20:42:06.143,social_graph,1.1393574355835708e+24,44103,Disagree,5629,2019-10-13 20:42:06.143,113935743558357074871
